Jim 'N Nick's Bar-B-Q,5.4,3.8,9.1,25.6,56.1
Joe's On Juniper,7.5,4.5,9.7,28.1,50.1
Joella's Hot Chicken,17.7,9.4,7.2,10.9,54.8
Johnny Rockets,10.2,4.0,12.0,24.3,49.5
Josephine Lounge,17.2,6.7,12.8,15.2,48.0
Joy Cafe,5.6,3.2,5.5,16.7,69.0
Joystick Gamebar,1.3,2.4,7.7,26.8,61.8
Ju-c Bar,0.0,0.0,0.0,0.0,100.0
Junior's Pizza,6.0,3.6,7.1,11.3,72.0
Just Around the Corner,3.2,3.2,7.7,18.1,67.9
K BBQ Taco,1.1,1.6,4.7,14.7,77.9
KP Soul Food LLC,14.3,0.0,28.6,14.3,42.9
KR SteakBar,3.4,1.2,2.8,16.5,76.1
Kale Me Crazy Vinings | Health Food Restaurant,8.1,2.7,9.5,9.5,70.3
Kale Me Crazy | Health Food Cafe Brookhaven Atlanta,9.9,2.7,5.4,20.7,61.3
Kale Me Crazy | Health Food Cafe Inman Park Atlanta,5.5,6.2,4.8,21.9,61.6
Kale Me Crazy | Health Food Cafe Midtown Atlanta,7.9,7.3,6.7,13.4,64.6
Kale Me Crazy | Health Food Cafe Morningside/Highlands Atlanta,4.3,0.0,4.3,17.0,74.5
