Dante's Down the Hatch,5.6,22.2,0.0,16.7,55.6
Debbie's Convenience Store & Soul Food,0.0,0.0,6.2,18.8,75.0
Dee's Cafe,0.0,0.0,0.0,22.2,77.8
Deja Vu Sports Bar & Lounge,8.0,6.7,5.3,12.0,68.0
Del Taco,7.3,5.7,11.9,23.8,51.2
Delbar Middle Eastern,3.1,1.2,1.9,7.8,86.0
Delia's Chicken Sausage Stand,1.7,2.0,4.9,21.1,70.4
Der Biergarten,3.0,2.3,7.7,26.5,60.5
Desi Spice Indian Cuisine,12.6,3.4,3.9,16.2,64.0
Desta Ethiopian Kitchen Emory Point,5.3,0.0,5.3,11.5,77.9
Dipped N Butter,21.1,2.6,7.9,23.7,44.7
Dire Grill,8.2,2.4,1.2,24.7,63.5
Divan Restaurant & Hookah Lounge,3.7,2.2,6.9,17.0,70.2
Dixie Q,1.3,3.9,7.5,22.1,65.3
Doa Vietnamese,0.0,0.0,0.0,0.0,100.0
Doc Green's Gourmet Salad And Sandwich Bar,13.3,3.6,7.2,18.7,57.2
Donnie's Country Cookin',9.8,4.5,11.4,27.3,46.9
Double Zero,3.1,2.6,5.4,22.2,66.8
Downtown Wings,0.0,0.0,0.0,100.0,0.0
Downwind Restaurant and Lounge,1.2,1.7,5.0,27.3,64.8
Dr. Bombay's Underwater Tea Party,4.1,2.4,5.7,19.1,68.8
Dragon Palace Restaurant,43.2,10.8,9.5,10.8,25.7
DrinkShop,0.0,0.0,25.0,37.5,37.5
Dua Hapeville,6.1,2.7,6.1,18.6,66.4
Dua Vietnamese Noodle Soup,5.3,1.3,3.0,22.0,68.4
ESCORPIÓN,3.6,3.6,10.3,31.9,50.6
East Wave Asian Fusion,4.7,2.8,10.3,28.0,54.2
EatMyTaco,50.0,16.7,0.0,0.0,33.3
Eats,2.7,2.4,5.5,20.8,68.6
Ecco Midtown,1.9,1.4,4.8,20.5,71.4
Eclipse di Luna,1.6,1.4,4.9,20.8,71.3
Eddie's Attic,1.7,1.3,4.6,15.2,77.2
Edgar's Proof & Provision,6.7,3.9,8.4,22.5,58.4
Einstein's,5.6,4.6,10.3,28.1,51.4
El Azteca,4.6,2.9,9.6,24.1,58.8
El Potro Mexican Restaurant,4.2,2.7,8.1,21.6,63.4
El Vinedo Local,0.0,0.0,0.0,3.7,96.3
Elbow Room,5.5,2.7,7.5,20.0,64.3
Eleventh Street Pub,1.9,1.4,8.2,19.3,69.1
Elleven45 Lounge,16.0,7.0,14.9,23.6,38.5
Elmyr,5.9,3.2,9.2,19.4,62.4
Elmyriachi,3.1,2.6,8.6,24.9,60.8
Embilta Cafe & Restaurant,2.3,0.4,2.3,13.9,81.2
Empire Sports Bar & Grill,11.8,5.9,8.8,11.8,61.8
Empire State South,2.8,3.6,8.3,24.6,60.7
Endive,0.0,0.0,0.0,1.7,98.3
Esco Seafood,17.7,10.6,16.8,12.4,42.5
Evangadi Restaurant Lounge,4.6,2.9,13.4,21.8,57.1
Everythang Nola,1.0,0.0,1.5,11.2,86.3
Extreme Teriyaki Grill Express,9.5,5.0,9.8,23.5,52.2
FIGO Pasta Food Truck - Edgewood,7.8,7.1,13.8,25.9,45.3
FIGO Pasta Vinings,7.7,6.0,9.3,22.3,54.7
